14:17:25.067 logback [restartedMain] INFO  c.e.s.SpringbootSonApplication - Starting SpringbootSonApplication on cengyujundeMacBook-Pro.local with PID 1521 (/Users/cengyujun/java_objct/springboot_son/target/classes started by cengyujun in /Users/cengyujun/java_objct/springboot_son)
14:17:25.071 logback [restartedMain] INFO  c.e.s.SpringbootSonApplication - The following profiles are active: dev
14:17:25.142 logback [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
14:17:25.142 logback [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
14:17:25.897 logback [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
14:17:25.899 logback [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
14:17:25.933 logback [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 Redis repository interfaces.
14:17:26.573 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8012 (http)
14:17:26.582 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8012"]
14:17:26.583 logback [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:17:26.583 logback [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
14:17:26.716 logback [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:17:26.716 logback [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1574 ms
14:17:27.640 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:17:27.689 logback [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:17:27.782 logback [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
14:17:27.964 logback [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
14:17:27.981 logback [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
14:17:27.992 logback [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
14:17:28.147 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8012"]
14:17:28.157 logback [pool-2-thread-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:17:28.158 logback [pool-2-thread-1] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
14:17:28.172 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8012 (http) with context path ''
14:17:28.176 logback [restartedMain] INFO  c.e.s.SpringbootSonApplication - Started SpringbootSonApplication in 3.674 seconds (JVM running for 4.239)
14:17:29.004 logback [pool-2-thread-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
14:17:29.088 logback [pool-2-thread-1] INFO  c.e.s.service.VideoInfoService - 11111[VideoInfo(videoId=1, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/adver.mp4, videoTitle=3123, videoDescribe=3213, uploadTime=1587613602, agreeNumber=3213, pageUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608976/ic_qc3_1_dsk2er.jpg, userId=56, authorPictureUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608976/ic_qc3_1_dsk2er.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=2, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/buck.mp4, videoTitle=213, videoDescribe=312, uploadTime=1587613643, agreeNumber=312, pageUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608974/ic_qc3_2_sjg9fd.jpg, userId=56, authorPictureUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608976/ic_qc3_1_dsk2er.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=3, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/trailer.mp4, videoTitle=67, videoDescribe=36, uploadTime=1587613802, agreeNumber=312, pageUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608965/ic_tq_jyb7e3.jpg, userId=56, authorPictureUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608976/ic_qc3_1_dsk2er.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=4, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/douyin2.mp4, videoTitle=98, videoDescribe=908, uploadTime=1587613502, agreeNumber=89089, pageUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, userId=56, authorPictureUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=5, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/douyin3.mp4, videoTitle=323, videoDescribe=86, uploadTime=1587613843, agreeNumber=7567, pageUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, userId=56, authorPictureUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=6, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/douyin4.mp4, videoTitle=765, videoDescribe=65, uploadTime=1587613801, agreeNumber=65, pageUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, userId=56, authorPictureUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, forwardNumber=null, commentNumber=null)]
14:17:29.134 logback [pool-2-thread-1] INFO  c.e.s.service.VideoInfoService - 11111[VideoInfo(videoId=1, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/adver.mp4, videoTitle=3123, videoDescribe=3213, uploadTime=1587613602, agreeNumber=3213, pageUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608976/ic_qc3_1_dsk2er.jpg, userId=56, authorPictureUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608976/ic_qc3_1_dsk2er.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=2, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/buck.mp4, videoTitle=213, videoDescribe=312, uploadTime=1587613643, agreeNumber=312, pageUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608974/ic_qc3_2_sjg9fd.jpg, userId=56, authorPictureUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608976/ic_qc3_1_dsk2er.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=3, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/trailer.mp4, videoTitle=67, videoDescribe=36, uploadTime=1587613802, agreeNumber=312, pageUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608965/ic_tq_jyb7e3.jpg, userId=56, authorPictureUrl=https://res.cloudinary.com/liuyuesha/image/upload/v1584608976/ic_qc3_1_dsk2er.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=4, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/douyin2.mp4, videoTitle=98, videoDescribe=908, uploadTime=1587613502, agreeNumber=89089, pageUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, userId=56, authorPictureUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=5, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/douyin3.mp4, videoTitle=323, videoDescribe=86, uploadTime=1587613843, agreeNumber=7567, pageUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, userId=56, authorPictureUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, forwardNumber=null, commentNumber=null), VideoInfo(videoId=6, videoUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/douyin4.mp4, videoTitle=765, videoDescribe=65, uploadTime=1587613801, agreeNumber=65, pageUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, userId=56, authorPictureUrl=https://babaznkj.oss-cn-shenzhen.aliyuncs.com/androidpic/ic_videobanner.jpg, forwardNumber=null, commentNumber=null)]
